Number of Processes, Number of Rounds, Total RMR, RMR per Critical Section
700,6903,2753542,3933.6314285714284
700,6552,2525735,3608.192857142857
700,6515,2495184,3564.5485714285714
700,7846,3125552,4465.074285714286
725,7857,2985266,4117.608275862069
725,7443,2896080,3994.593103448276
725,6862,2843952,3922.6924137931032
725,7882,3140658,4331.942068965517
725,7603,3117640,4300.193103448276
725,6532,2701910,3726.7724137931036
725,6650,2791068,3849.7489655172412
725,7855,3296852,4547.382068965518
725,7565,3196761,4409.325517241379
725,7121,2973839,4101.846896551724
750,6950,2842128,3789.504
750,6474,2557288,3409.7173333333335
750,7194,3104789,4139.718666666667
750,7543,3130568,4174.090666666667
750,6985,3101273,4135.030666666667
750,6952,2922631,3896.8413333333333
750,7236,3062724,4083.632
750,7570,3103139,4137.518666666667
750,7283,3146533,4195.377333333333
750,6650,2833990,3778.653333333333
775,6536,2835176,3658.291612903226
775,7662,3254276,4199.065806451613
775,8357,3662183,4725.397419354838
775,6880,2979196,3844.123870967742
775,7155,3023844,3901.734193548387
775,8087,3567381,4603.072258064516
775,7727,3432164,4428.59870967742
775,7077,3151883,4066.945806451613
775,6106,2698154,3481.4890322580645
775,7949,3530942,4556.054193548387
800,7761,3277693,4097.11625
800,7683,3513758,4392.1975
800,6437,3005375,3756.71875
800,7650,3404305,4255.38125
800,7379,3273841,4092.30125
800,7361,3380462,4225.5775
800,7426,3493382,4366.7275
800,7374,3206757,4008.44625
800,8305,3661106,4576.3825
800,7187,3271610,4089.5125
825,8477,4124980,4999.975757575758
825,7331,3573489,4331.501818181819
825,8513,3865629,4685.610909090909
825,7611,3690749,4473.635151515152
825,7961,3739538,4532.7733333333335
825,7912,3786581,4589.795151515152
825,6816,3455664,4188.683636363637
825,7362,3548905,4301.703030303031
825,7970,3751074,4546.756363636364
825,7762,3416128,4140.761212121212
850,7061,3428495,4033.5235294117647
850,8653,4161186,4895.512941176471
850,8635,4167900,4903.411764705882
850,7037,3277898,3856.3505882352943
850,8684,4154949,4888.175294117647
850,8378,4138655,4869.005882352942
850,7962,3959305,4658.005882352942
850,8564,4239664,4987.84
850,7721,3820240,4494.4
850,8452,4032307,4743.890588235294
875,8344,4284664,4896.758857142857
875,7195,3692555,4220.062857142857
875,7510,3712411,4242.755428571429
875,7498,3922825,4483.228571428572
875,7722,3820830,4366.662857142857
875,7968,3890332,4446.093714285715
875,7867,4021184,4595.638857142857
875,8172,3999501,4570.858285714286
875,7247,3688224,4215.1131428571425
875,6554,3240712,3703.670857142857
900,7344,4009042,4454.491111111111
900,8960,4667804,5186.448888888889
900,8461,4308923,4787.692222222222
900,7047,3504564,3893.96
900,7078,3628615,4031.7944444444443
900,7469,3859785,4288.65
900,7611,3934844,4372.0488888888885
900,9386,4584965,5094.405555555555
900,9256,4852855,5392.061111111111
900,8396,4450674,4945.193333333334
925,7300,3791207,4098.602162162162
925,7715,4193642,4533.667027027027
925,6890,3744180,4047.762162162162
925,7417,3783288,4090.0410810810813
925,7147,3922599,4240.647567567567
925,6912,3665898,3963.1329729729728
925,7777,4066765,4396.502702702703
925,7994,4080927,4411.812972972973
925,8741,4460001,4821.622702702703
925,8385,4931084,5330.901621621621
950,7381,3995849,4206.156842105263
950,7057,3968288,4177.145263157895
950,7580,4307303,4534.003157894736
950,7119,4021319,4232.967368421053
950,7864,4151444,4369.941052631579
950,9047,4932047,5191.628421052632
950,7649,4335363,4563.54
950,7806,4057407,4270.954736842105
950,8403,4561923,4802.024210526316
950,8231,4455771,4690.285263157894
975,7426,4170802,4277.745641025641
975,7019,4130576,4236.488205128205
975,7374,4119669,4225.301538461538
975,9041,4924975,5051.25641025641
975,7671,4231198,4339.690256410257
975,7963,4381654,4494.004102564102
975,7083,4226081,4334.442051282052
975,8175,4549691,4666.349743589743
975,7610,4080228,4184.84923076923
975,7661,4317645,4428.3538461538465
